Club,Club Logo
Bohemian FC,https://cdn.sofifa.org/teams/2/light/305.png
Bologna,https://cdn.sofifa.org/teams/2/light/189.png
Bolton Wanderers,https://cdn.sofifa.org/teams/2/light/4.png
Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png
Borussia Mönchengladbach,https://cdn.sofifa.org/teams/2/light/23.png
Botafogo,https://cdn.sofifa.org/teams/2/light/517.png
Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png
Boyacá Chicó FC,https://cdn.sofifa.org/teams/2/light/112019.png
Bradford City,https://cdn.sofifa.org/teams/2/light/1804.png
Bray Wanderers,https://cdn.sofifa.org/teams/2/light/838.png
Brentford,https://cdn.sofifa.org/teams/2/light/1925.png
Brescia,https://cdn.sofifa.org/teams/2/light/190.png
Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png
Brisbane Roar,https://cdn.sofifa.org/teams/2/light/111395.png
Bristol City,https://cdn.sofifa.org/teams/2/light/1919.png
Bristol Rovers,https://cdn.sofifa.org/teams/2/light/1962.png
Brøndby IF,https://cdn.sofifa.org/teams/2/light/269.png
Burnley,https://cdn.sofifa.org/teams/2/light/1796.png
Bursaspor,https://cdn.sofifa.org/teams/2/light/742.png
Burton Albion,https://cdn.sofifa.org/teams/2/light/15015.png
Bury,https://cdn.sofifa.org/teams/2/light/1945.png
CA Osasuna,https://cdn.sofifa.org/teams/2/light/479.png
CD Antofagasta,https://cdn.sofifa.org/teams/2/light/112533.png
CD Aves,https://cdn.sofifa.org/teams/2/light/666.png
CD Everton de Viña del Mar,https://cdn.sofifa.org/teams/2/light/112584.png
CD Feirense,https://cdn.sofifa.org/teams/2/light/10019.png
CD Huachipato,https://cdn.sofifa.org/teams/2/light/111327.png
CD Leganés,https://cdn.sofifa.org/teams/2/light/100888.png
CD Lugo,https://cdn.sofifa.org/teams/2/light/110831.png
CD Nacional,https://cdn.sofifa.org/teams/2/light/1891.png
CD Numancia,https://cdn.sofifa.org/teams/2/light/477.png
CD O'Higgins,https://cdn.sofifa.org/teams/2/light/112116.png
CD Palestino,https://cdn.sofifa.org/teams/2/light/111328.png
CD Tenerife,https://cdn.sofifa.org/teams/2/light/260.png
CD Tondela,https://cdn.sofifa.org/teams/2/light/112516.png
CD Universidad de Concepción,https://cdn.sofifa.org/teams/2/light/112534.png
CF Rayo Majadahonda,https://cdn.sofifa.org/teams/2/light/110066.png
CF Reus Deportiu,https://cdn.sofifa.org/teams/2/light/110854.png
Cagliari,https://cdn.sofifa.org/teams/2/light/1842.png
Cambridge United,https://cdn.sofifa.org/teams/2/light/1944.png
Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png
Carlisle United,https://cdn.sofifa.org/teams/2/light/1480.png
Carpi,https://cdn.sofifa.org/teams/2/light/112409.png
Ceará Sporting Club,https://cdn.sofifa.org/teams/2/light/111059.png
Celtic,https://cdn.sofifa.org/teams/2/light/78.png
Central Coast Mariners,https://cdn.sofifa.org/teams/2/light/111396.png
Cerezo Osaka,https://cdn.sofifa.org/teams/2/light/101148.png
Chamois Niortais Football Club,https://cdn.sofifa.org/teams/2/light/1813.png
Changchun Yatai FC,https://cdn.sofifa.org/teams/2/light/111769.png
Chapecoense,https://cdn.sofifa.org/teams/2/light/112476.png
Charlton Athletic,https://cdn.sofifa.org/teams/2/light/89.png
Chelsea,https://cdn.sofifa.org/teams/2/light/5.png
Cheltenham Town,https://cdn.sofifa.org/teams/2/light/1936.png
Chicago Fire,https://cdn.sofifa.org/teams/2/light/693.png
Chievo Verona,https://cdn.sofifa.org/teams/2/light/192.png
Chongqing Dangdai Lifan FC SWM Team,https://cdn.sofifa.org/teams/2/light/112165.png
Cittadella,https://cdn.sofifa.org/teams/2/light/111993.png
Clermont Foot 63,https://cdn.sofifa.org/teams/2/light/1815.png
Club América,https://cdn.sofifa.org/teams/2/light/1879.png
Club Atlas,https://cdn.sofifa.org/teams/2/light/101114.png
Club Atlético Aldosivi,https://cdn.sofifa.org/teams/2/light/111707.png
Club Atlético Banfield,https://cdn.sofifa.org/teams/2/light/110404.png
Club Atlético Colón,https://cdn.sofifa.org/teams/2/light/110406.png
Club Atlético Huracán,https://cdn.sofifa.org/teams/2/light/111711.png
