Nationality,Flag
Puerto Rico,https://cdn.sofifa.org/flags/88.png
Qatar,https://cdn.sofifa.org/flags/182.png
Republic of Ireland,https://cdn.sofifa.org/flags/25.png
Romania,https://cdn.sofifa.org/flags/39.png
Russia,https://cdn.sofifa.org/flags/40.png
Rwanda,https://cdn.sofifa.org/flags/134.png
Saudi Arabia,https://cdn.sofifa.org/flags/183.png
Scotland,https://cdn.sofifa.org/flags/42.png
Senegal,https://cdn.sofifa.org/flags/136.png
Serbia,https://cdn.sofifa.org/flags/51.png
Sierra Leone,https://cdn.sofifa.org/flags/138.png
Slovakia,https://cdn.sofifa.org/flags/43.png
Slovenia,https://cdn.sofifa.org/flags/44.png
South Africa,https://cdn.sofifa.org/flags/140.png
South Sudan,https://cdn.sofifa.org/flags/218.png
Spain,https://cdn.sofifa.org/flags/45.png
St Kitts Nevis,https://cdn.sofifa.org/flags/89.png
St Lucia,https://cdn.sofifa.org/flags/90.png
Sudan,https://cdn.sofifa.org/flags/141.png
Suriname,https://cdn.sofifa.org/flags/92.png
Sweden,https://cdn.sofifa.org/flags/46.png
Switzerland,https://cdn.sofifa.org/flags/47.png
Syria,https://cdn.sofifa.org/flags/186.png
São Tomé & Príncipe,https://cdn.sofifa.org/flags/135.png
Tanzania,https://cdn.sofifa.org/flags/143.png
Thailand,https://cdn.sofifa.org/flags/188.png
Togo,https://cdn.sofifa.org/flags/144.png
Trinidad & Tobago,https://cdn.sofifa.org/flags/93.png
Tunisia,https://cdn.sofifa.org/flags/145.png
Turkey,https://cdn.sofifa.org/flags/48.png
Uganda,https://cdn.sofifa.org/flags/146.png
Ukraine,https://cdn.sofifa.org/flags/49.png
United Arab Emirates,https://cdn.sofifa.org/flags/190.png
United States,https://cdn.sofifa.org/flags/95.png
Uruguay,https://cdn.sofifa.org/flags/60.png
Uzbekistan,https://cdn.sofifa.org/flags/191.png
Venezuela,https://cdn.sofifa.org/flags/61.png
Wales,https://cdn.sofifa.org/flags/50.png
Zambia,https://cdn.sofifa.org/flags/147.png
Zimbabwe,https://cdn.sofifa.org/flags/148.png
