name,vote_count,vote_average
This Is Us,386,7.9
True Cooking Master Boy,1,8.0
The West Wing,212,8.2
White Collar,333,7.9
Bleach,192,7.8
YOU,197,7.9
Will & Grace,185,6.8
The Fairly OddParents,175,6.7
SEAL Team,164,7.2
A Case For Two,3,6.3
Futurama,997,8.2
One Piece,304,7.8
Weeds,356,7.1
Ancient Aliens,129,6.8
Silicon Valley,665,8.0
Who Wants to Be a Millionaire? (US),14,6.9
Fringe,847,8.1
Miraculous: Tales of Ladybug & Cat Noir,71,8.4
Infinite Challenge,9,7.8
La rosa de Guadalupe,5,3.6
Death Note,680,8.4
COBRA,4,3.1
Mickey Mouse Clubhouse,35,6.1
Arrested Development,588,8.1
When Calls the Heart,42,8.3
Star Trek: Voyager,401,7.8
JoJo's Bizarre Adventure,78,7.4
NCIS: New Orleans,213,6.9
Little House on the Prairie,117,7.2
Fullmetal Alchemist: Brotherhood,401,8.2
30 Rock,326,7.2
JAG,97,6.8
The Resident,134,8.0
How to Get Away with Murder,500,7.5
GMTV,0,0.0
Overlord,58,7.4
Van Helsing,250,6.4
Downton Abbey,398,8.1
13 Reasons Why,991,7.2
Mom,227,6.9
Manifest,136,7.5
InuYasha,62,7.4
Cops,104,6.5
Everybody Loves Raymond,244,6.4
In aller Freundschaft,0,0.0
Columbo,237,8.1
WWE NXT,31,6.5
Curb Your Enthusiasm,313,8.1
Heartland,129,8.0
Cheers,243,7.7
Chuck,397,7.6
Big Brother,27,2.9
DreamWorks Dragons,88,7.5
Doom Patrol,254,6.5
The Last Kingdom,287,7.7
Ballers,286,5.8
Star Wars Rebels,192,7.2
Black Lightning,278,6.5
My Hero Academia,220,8.0
Altered Carbon,523,7.9
iZombie,544,7.2
Monogatari,70,7.7
Jane the Virgin,219,7.2
See,161,7.8
iCarly,148,7.3
The Good Wife,232,7.4
Omniscient,4,7.5
Archer,577,7.9
SOKO Leipzig,1,10.0
Justin Bieber: Seasons,2,9.0
Heroes,823,7.1
Malcolm in the Middle,423,7.6
Law & Order: Criminal Intent,142,7.6
Black Clover,124,5.7
The Orville,411,7.3
The Smurfs,135,6.5
Sex and the City,267,5.9
The Fugitive,24,7.3
9-1-1,214,7.6
Six Feet Under,398,8.2
DuckTales,221,7.5
Spartacus,554,7.9
The Man in the High Castle,420,7.5
The A-Team,244,7.0
FBI,97,7.2
Adaalat,1,7.0
Pawn Stars,89,6.4
Re:ZERO -Starting Life in Another World-,90,7.5
Babylon Berlin,69,8.1
The Nanny,172,7.0
Die Rosenheim-Cops,4,6.1
Ozark,443,7.9
Stargate Atlantis,402,7.9
Garfield and Friends,68,6.7
Shadowhunters,419,7.1
Steven Universe,171,7.8
Gossip Girl,269,7.1
Big Brother,149,4.7
Fire in His Fingertips,1,6.0
Orphan Black,565,7.7
Diablero,12,6.8
Harley Quinn,49,8.2
Henry Danger,55,8.2
Last Man Standing,145,7.2
Batman: The Animated Series,363,8.3
Swamp Thing,93,6.8
Blindspot,679,6.5
Treadstone,40,7.6
Rugrats,185,7.2
Itaewon Class,2,5.0
Fargo,1163,8.3
Late Night with Conan O'Brien,70,7.5
The Young and the Restless,55,5.7
Marvel's Daredevil,1529,7.8
Superstore,124,7.0
Dracula,86,7.3
Real Time with Bill Maher,113,6.1
Die Fallers – Eine Schwarzwaldfamilie,0,0.0
Lethal Weapon,391,7.2
The Saint,40,7.1
Australian Survivor,9,7.1
Angel,289,7.7
Rebelde,16,7.1
Last Week Tonight with John Oliver,316,7.9
Desmontando la Historia,1,1.0
Singardaan,0,0.0
Regular Show,125,7.7
Gintama,43,7.9
Bull,157,6.9
The Batman,64,7.5
Mad Men,510,8.1
NOVA,52,7.2
Sword Art Online,0,0.0
Empire,405,6.7
"Sabrina, the Teenage Witch",152,6.7
The Legend of Korra,260,7.9
House of Cards,1265,8.2
Nintama Rantarō,1,7.0
Lost in Space,318,7.1
Mindhunter,703,7.7
Sefirin Kızı,1,10.0
"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",2,9.5
The Handmaid's Tale,574,7.9
Großstadtrevier,1,8.0
Resurrection: Ertugrul,37,6.8
Xena: Warrior Princess,287,6.7
Bates Motel,463,7.7
Married... with Children,413,7.6
Bob's Burgers,316,7.9
The Voice,94,5.2
Numb3rs,179,6.9
Moomin,17,7.6
King of the Hill,226,7.2
Hawaii Five-O,44,7.2
Unauthorized Living,8,7.9
Billions,326,7.7
Digimon Adventure,85,7.1
The Umbrella Academy,278,7.8
The End of the F***ing World,424,8.0
Strike Back,160,7.3
Fresh Off the Boat,110,6.9
The Worst Witch,10,8.3
The Beverly Hillbillies,48,6.9
Ironside,31,7.4
Chicago Hope,26,7.8
A Certain Magical Index,20,7.1
Tosh.0,53,5.8
Black Sails,501,7.4
Tyler Perry's The Haves and the Have Nots,88,7.5
The King of Queens,281,6.8
Derrick,8,5.1
Agatha Christie's Poirot,169,8.0
Schitt's Creek,88,7.1
The War of the Worlds,24,6.0
Killing Eve,193,8.0
The Dead Lands,8,7.8
Magnificent Century,26,6.2
"Goede Tijden, Slechte Tijden",5,4.3
Dexter's Laboratory,217,7.5
My Little Pony: Friendship Is Magic,106,6.8
The Celebrity Apprentice,28,4.3
The Big Valley,21,5.2
Dragon Ball Super,304,7.1
De Wereld Draait Door,3,5.3
Boardwalk Empire,438,7.9
CSI: NY,229,7.0
My Name Is Earl,321,7.4
Teenage Mutant Ninja Turtles,182,7.5
Into the Badlands,269,7.5
Afili Aşk,1,9.5
Miami Vice,136,7.3
Entourage,241,7.4
The Bold Type,52,7.3
Marvel's The Punisher,590,8.0
The Andy Griffith Show,65,7.5
Tout le monde en parle,5,3.9
Star Trek: Enterprise,329,7.5
Running Man,37,8.3
Zimmer frei!,0,0.0
Melrose Place,48,5.2
